S(t),I(t),H(t),C(t),R(t),D(t),date
52375463.0,105159.14285714286,7718.142857142857,1187.5714285714287,3565615.285714286,73.0,2021-03-19
52371979.0,102667.85714285714,7415.428571428572,1131.5714285714287,3572550.5714285714,67.28571428571429,2021-03-20
52367334.0,100717.42857142857,7105.571428571428,1081.142857142857,3579083.0,65.42857142857143,2021-03-21
52361980.0,99308.28571428571,6808.714285714285,1033.5714285714287,3585043.4285714286,61.42857142857143,2021-03-22
52357480.0,98202.85714285714,6522.0,989.0,3590648.4285714286,58.42857142857143,2021-03-23
52352211.0,97449.14285714286,6237.0,944.2857142857143,3595944.714285714,54.142857142857146,2021-03-24
52347601.0,96954.57142857143,5970.0,901.8571428571429,3600980.285714286,52.142857142857146,2021-03-25
52343848.0,96543.0,5746.142857142857,867.7142857142857,3605858.285714286,50.0,2021-03-26
52340740.0,96131.85714285714,5586.142857142857,836.7142857142857,3610685.8571428573,46.285714285714285,2021-03-27
52336280.0,95750.42857142857,5381.0,807.2857142857143,3615463.4285714286,40.142857142857146,2021-03-28
52332894.0,95138.85714285714,5180.571428571428,780.1428571428571,3620194.5714285714,35.57142857142857,2021-03-29
52329785.0,94387.42857142857,4994.857142857143,756.8571428571429,3624868.285714286,34.142857142857146,2021-03-30
52326480.0,93364.0,4817.857142857143,737.5714285714286,3629533.4285714286,34.142857142857146,2021-03-31
52323461.0,92135.14285714286,4657.857142857143,719.4285714285714,3634178.1428571427,32.714285714285715,2021-04-01
52321244.0,90673.0,4478.857142857143,694.2857142857143,3638839.1428571427,30.285714285714285,2021-04-02
52319150.0,89094.42857142857,4264.285714285715,672.4285714285714,3643472.4285714286,29.571428571428573,2021-04-03
52317126.0,87158.14285714286,4109.857142857143,649.7142857142857,3648115.8571428573,29.142857142857142,2021-04-04
52314833.0,85088.57142857143,3953.4285714285716,626.5714285714286,3652738.714285714,26.857142857142858,2021-04-05
52312124.0,83037.85714285714,3821.5714285714284,604.2857142857143,3657287.8571428573,24.571428571428573,2021-04-06
52309409.0,80927.42857142857,3709.1428571428573,583.0,3661814.1428571427,22.857142857142858,2021-04-07
52306807.0,78773.57142857143,3606.0,564.4285714285714,3666324.0,23.142857142857142,2021-04-08
52304367.0,76711.28571428571,3515.285714285714,550.1428571428571,3670774.4285714286,22.857142857142858,2021-04-09
52302396.0,74639.0,3426.0,533.7142857142857,3675218.4285714286,21.714285714285715,2021-04-10
52300405.0,72424.57142857143,3318.8571428571427,519.5714285714286,3679800.4285714286,21.142857142857142,2021-04-11
52298047.0,70248.0,3211.714285714286,504.85714285714283,3684351.714285714,23.285714285714285,2021-04-12
52296030.0,68024.57142857143,3101.714285714286,490.14285714285717,3688851.285714286,23.0,2021-04-13
52294009.0,65661.0,2993.4285714285716,474.2857142857143,3693393.8571428573,21.0,2021-04-14
52292075.0,63205.28571428572,2888.5714285714284,458.0,3697934.8571428573,19.285714285714285,2021-04-15
52290160.0,60749.71428571428,2786.1428571428573,445.42857142857144,3702401.285714286,18.714285714285715,2021-04-16
52288797.0,58257.0,2683.8571428571427,435.14285714285717,3706817.714285714,19.0,2021-04-17
52286544.0,55822.71428571428,2593.4285714285716,422.0,3711213.8571428573,18.285714285714285,2021-04-18
52284316.0,53648.28571428572,2509.8571428571427,412.42857142857144,3715333.4285714286,16.428571428571427,2021-04-19
52282234.0,51680.857142857145,2423.5714285714284,399.2857142857143,3719255.714285714,16.0,2021-04-20
52279972.0,50027.42857142857,2349.1428571428573,385.42857142857144,3722897.4285714286,17.0,2021-04-21
52277960.0,48611.42857142857,2272.714285714286,373.14285714285717,3726313.285714286,16.571428571428573,2021-04-22
52276289.0,47377.28571428572,2195.8571428571427,357.0,3729512.1428571427,16.857142857142858,2021-04-23
52275012.0,46277.0,2126.1428571428573,341.42857142857144,3732566.8571428573,14.857142857142858,2021-04-24
52273136.0,45470.857142857145,2061.0,325.85714285714283,3735274.0,14.428571428571429,2021-04-25
52270897.0,44820.57142857143,1991.142857142857,308.85714285714283,3737827.285714286,14.0,2021-04-26
52269111.0,44183.42857142857,1922.857142857143,293.57142857142856,3740325.714285714,13.428571428571429,2021-04-27
52266984.0,43609.857142857145,1858.5714285714287,280.42857142857144,3742741.5714285714,13.142857142857142,2021-04-28
52265147.0,43071.42857142857,1802.2857142857142,267.14285714285717,3745097.5714285714,12.857142857142858,2021-04-29
52263649.0,42477.142857142855,1743.7142857142858,256.2857142857143,3747485.714285714,11.857142857142858,2021-04-30
52262465.0,41886.0,1681.7142857142858,245.28571428571428,3749857.4285714286,11.857142857142858,2021-05-01
52261175.0,41215.28571428572,1629.142857142857,237.57142857142858,3752225.0,11.857142857142858,2021-05-02
52259386.0,40473.42857142857,1574.0,229.0,3754599.714285714,11.571428571428571,2021-05-03
52257223.0,39884.57142857143,1536.4285714285713,222.14285714285714,3756875.8571428573,11.0,2021-05-04
52255053.0,39399.28571428572,1490.7142857142858,218.0,3759054.8571428573,10.714285714285714,2021-05-05
52253106.0,39024.28571428572,1445.0,213.57142857142858,3761140.1428571427,9.857142857142858,2021-05-06
52251473.0,38743.28571428572,1412.142857142857,209.57142857142858,3763151.0,9.571428571428571,2021-05-07
